qid,penyakitLabel,gejalaLabel,obatLabel,kategoriLabel,treatmentLabel
Q1444550,arteriosclerotic heart disease,nausea,lipid regulating agents,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,dyspnea,lipid regulating agents,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,neck pain,lipid regulating agents,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,lightheadedness,lipid regulating agents,arteriosclerosis,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,fatigue,aspirin,heart disease,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,angina pectoris,aspirin,heart disease,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,nausea,aspirin,heart disease,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,dyspnea,aspirin,heart disease,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,neck pain,aspirin,heart disease,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,lightheadedness,aspirin,heart disease,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,fatigue,isosorbide dinitrate,heart disease,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,angina pectoris,isosorbide dinitrate,heart disease,isosorbide dinitrate
Q1444550,arteriosclerotic heart disease,fatigue,aspirin,arteriosclerosis,clopidogrel
Q1444550,arteriosclerotic heart disease,angina pectoris,aspirin,arteriosclerosis,clopidogrel
Q1444550,arteriosclerotic heart disease,nausea,aspirin,arteriosclerosis,clopidogrel
Q1444550,arteriosclerotic heart disease,dyspnea,aspirin,arteriosclerosis,clopidogrel
Q1444550,arteriosclerotic heart disease,neck pain,aspirin,arteriosclerosis,clopidogrel
Q1444550,arteriosclerotic heart disease,lightheadedness,aspirin,arteriosclerosis,clopidogrel
Q1444550,arteriosclerotic heart disease,fatigue,isosorbide dinitrate,arteriosclerosis,clopidogrel
Q1444550,arteriosclerotic heart disease,angina pectoris,isosorbide dinitrate,arteriosclerosis,clopidogrel
Q1444550,arteriosclerotic heart disease,nausea,isosorbide dinitrate,arteriosclerosis,clopidogrel
Q1444550,arteriosclerotic heart disease,dyspnea,isosorbide dinitrate,arteriosclerosis,clopidogrel
Q1444550,arteriosclerotic heart disease,neck pain,isosorbide dinitrate,arteriosclerosis,clopidogrel
Q1444550,arteriosclerotic heart disease,lightheadedness,isosorbide dinitrate,arteriosclerosis,clopidogrel
Q1444550,arteriosclerotic heart disease,fatigue,clopidogrel,arteriosclerosis,clopidogrel
Q1444550,arteriosclerotic heart disease,angina pectoris,clopidogrel,arteriosclerosis,clopidogrel
Q124407,type-1 diabetes,polyphagia,liraglutide,diabetes,insulin detemir
Q124407,type-1 diabetes,polyuria,liraglutide,diabetes,insulin detemir
Q124407,type-1 diabetes,polydipsia,insulin aspart,diabetes,insulin detemir
Q124407,type-1 diabetes,polyphagia,insulin aspart,diabetes,insulin detemir
Q124407,type-1 diabetes,polyuria,insulin aspart,diabetes,insulin detemir
Q124407,type-1 diabetes,polydipsia,Insulin Lispro,diabetes,insulin detemir
Q124407,type-1 diabetes,polyphagia,Insulin Lispro,diabetes,insulin detemir
Q124407,type-1 diabetes,polyuria,Insulin Lispro,diabetes,insulin detemir
Q124407,type-1 diabetes,polydipsia,albiglutide,diabetes,insulin detemir
Q124407,type-1 diabetes,polyphagia,albiglutide,diabetes,insulin detemir
Q124407,type-1 diabetes,polyuria,albiglutide,diabetes,insulin detemir
Q124407,type-1 diabetes,polydipsia,insulin glulisine,diabetes,insulin detemir
Q124407,type-1 diabetes,polyphagia,insulin glulisine,diabetes,insulin detemir
Q124407,type-1 diabetes,polyuria,insulin glulisine,diabetes,insulin detemir
Q124407,type-1 diabetes,polydipsia,dulaglutide,diabetes,insulin detemir
Q124407,type-1 diabetes,polyphagia,dulaglutide,diabetes,insulin detemir
Q124407,type-1 diabetes,polyuria,dulaglutide,diabetes,insulin detemir
Q124407,type-1 diabetes,polyphagia,liraglutide,autoimmune disease of endocrine system,insulin detemir
Q124407,type-1 diabetes,polyuria,liraglutide,autoimmune disease of endocrine system,insulin detemir
Q124407,type-1 diabetes,polydipsia,insulin aspart,autoimmune disease of endocrine system,insulin detemir
Q124407,type-1 diabetes,polyphagia,insulin aspart,autoimmune disease of endocrine system,insulin detemir
Q124407,type-1 diabetes,polyuria,insulin aspart,autoimmune disease of endocrine system,insulin detemir
Q124407,type-1 diabetes,polydipsia,Insulin Lispro,autoimmune disease of endocrine system,insulin detemir
Q124407,type-1 diabetes,polyphagia,Insulin Lispro,autoimmune disease of endocrine system,insulin detemir
Q124407,type-1 diabetes,polyuria,Insulin Lispro,autoimmune disease of endocrine system,insulin detemir
Q124407,type-1 diabetes,polydipsia,albiglutide,autoimmune disease of endocrine system,insulin detemir
Q124407,type-1 diabetes,polyphagia,albiglutide,autoimmune disease of endocrine system,insulin detemir
Q124407,type-1 diabetes,polyuria,albiglutide,autoimmune disease of endocrine system,insulin detemir
Q124407,type-1 diabetes,polydipsia,insulin glulisine,autoimmune disease of endocrine system,insulin detemir
Q124407,type-1 diabetes,polyphagia,insulin glulisine,autoimmune disease of endocrine system,insulin detemir
Q124407,type-1 diabetes,polyuria,insulin glulisine,autoimmune disease of endocrine system,insulin detemir
Q124407,type-1 diabetes,polydipsia,dulaglutide,autoimmune disease of endocrine system,insulin detemir
Q124407,type-1 diabetes,polyphagia,dulaglutide,autoimmune disease of endocrine system,insulin detemir
Q124407,type-1 diabetes,polyuria,dulaglutide,autoimmune disease of endocrine system,insulin detemir
Q124407,type-1 diabetes,polyphagia,liraglutide,diabetes,insulin glargine
Q124407,type-1 diabetes,polyuria,liraglutide,diabetes,insulin glargine
Q124407,type-1 diabetes,polydipsia,insulin aspart,diabetes,insulin glargine
Q124407,type-1 diabetes,polyphagia,insulin aspart,diabetes,insulin glargine
Q124407,type-1 diabetes,polyuria,insulin aspart,diabetes,insulin glargine
Q124407,type-1 diabetes,polydipsia,Insulin Lispro,diabetes,insulin glargine
Q124407,type-1 diabetes,polyphagia,Insulin Lispro,diabetes,insulin glargine
Q124407,type-1 diabetes,polyuria,Insulin Lispro,diabetes,insulin glargine
Q124407,type-1 diabetes,polydipsia,albiglutide,diabetes,insulin glargine
Q124407,type-1 diabetes,polyphagia,albiglutide,diabetes,insulin glargine
Q124407,type-1 diabetes,polyuria,albiglutide,diabetes,insulin glargine
Q124407,type-1 diabetes,polydipsia,insulin glulisine,diabetes,insulin glargine
Q124407,type-1 diabetes,polyphagia,insulin glulisine,diabetes,insulin glargine
Q124407,type-1 diabetes,polyuria,insulin glulisine,diabetes,insulin glargine
Q124407,type-1 diabetes,polydipsia,dulaglutide,diabetes,insulin glargine
Q124407,type-1 diabetes,polyphagia,dulaglutide,diabetes,insulin glargine
Q124407,type-1 diabetes,polyuria,dulaglutide,diabetes,insulin glargine
Q124407,type-1 diabetes,polyphagia,liraglutide,autoimmune disease of endocrine system,insulin glargine
Q124407,type-1 diabetes,polyuria,liraglutide,autoimmune disease of endocrine system,insulin glargine
Q124407,type-1 diabetes,polydipsia,insulin aspart,autoimmune disease of endocrine system,insulin glargine
Q124407,type-1 diabetes,polyphagia,insulin aspart,autoimmune disease of endocrine system,insulin glargine
Q124407,type-1 diabetes,polyuria,insulin aspart,autoimmune disease of endocrine system,insulin glargine
Q124407,type-1 diabetes,polydipsia,Insulin Lispro,autoimmune disease of endocrine system,insulin glargine
Q124407,type-1 diabetes,polyphagia,Insulin Lispro,autoimmune disease of endocrine system,insulin glargine
Q124407,type-1 diabetes,polyuria,Insulin Lispro,autoimmune disease of endocrine system,insulin glargine
Q124407,type-1 diabetes,polydipsia,albiglutide,autoimmune disease of endocrine system,insulin glargine
Q124407,type-1 diabetes,polyphagia,albiglutide,autoimmune disease of endocrine system,insulin glargine
Q124407,type-1 diabetes,polyuria,albiglutide,autoimmune disease of endocrine system,insulin glargine
Q124407,type-1 diabetes,polydipsia,insulin glulisine,autoimmune disease of endocrine system,insulin glargine
Q124407,type-1 diabetes,polyphagia,insulin glulisine,autoimmune disease of endocrine system,insulin glargine
Q124407,type-1 diabetes,polyuria,insulin glulisine,autoimmune disease of endocrine system,insulin glargine
Q124407,type-1 diabetes,polydipsia,dulaglutide,autoimmune disease of endocrine system,insulin glargine
Q124407,type-1 diabetes,polyphagia,dulaglutide,autoimmune disease of endocrine system,insulin glargine
Q124407,type-1 diabetes,polyuria,dulaglutide,autoimmune disease of endocrine system,insulin glargine
Q124407,type-1 diabetes,polyphagia,liraglutide,diabetes,exenatide
Q124407,type-1 diabetes,polyuria,liraglutide,diabetes,exenatide
Q124407,type-1 diabetes,polydipsia,insulin aspart,diabetes,exenatide
Q124407,type-1 diabetes,polyphagia,insulin aspart,diabetes,exenatide
Q124407,type-1 diabetes,polyuria,insulin aspart,diabetes,exenatide
Q124407,type-1 diabetes,polydipsia,Insulin Lispro,diabetes,exenatide
Q124407,type-1 diabetes,polyphagia,Insulin Lispro,diabetes,exenatide
Q124407,type-1 diabetes,polyuria,Insulin Lispro,diabetes,exenatide
Q124407,type-1 diabetes,polydipsia,albiglutide,diabetes,exenatide
Q124407,type-1 diabetes,polyphagia,albiglutide,diabetes,exenatide
Q124407,type-1 diabetes,polyuria,albiglutide,diabetes,exenatide
Q124407,type-1 diabetes,polydipsia,insulin glulisine,diabetes,exenatide
Q124407,type-1 diabetes,polyphagia,insulin glulisine,diabetes,exenatide
Q124407,type-1 diabetes,polyuria,insulin glulisine,diabetes,exenatide
Q124407,type-1 diabetes,polydipsia,dulaglutide,diabetes,exenatide
Q124407,type-1 diabetes,polyphagia,dulaglutide,diabetes,exenatide
Q124407,type-1 diabetes,polyuria,dulaglutide,diabetes,exenatide
Q124407,type-1 diabetes,polyphagia,liraglutide,autoimmune disease of endocrine system,exenatide
Q124407,type-1 diabetes,polyuria,liraglutide,autoimmune disease of endocrine system,exenatide
Q124407,type-1 diabetes,polydipsia,insulin aspart,autoimmune disease of endocrine system,exenatide
Q124407,type-1 diabetes,polyphagia,insulin aspart,autoimmune disease of endocrine system,exenatide
Q124407,type-1 diabetes,polyuria,insulin aspart,autoimmune disease of endocrine system,exenatide
Q124407,type-1 diabetes,polydipsia,Insulin Lispro,autoimmune disease of endocrine system,exenatide
Q124407,type-1 diabetes,polyphagia,Insulin Lispro,autoimmune disease of endocrine system,exenatide
Q124407,type-1 diabetes,polyuria,Insulin Lispro,autoimmune disease of endocrine system,exenatide
Q124407,type-1 diabetes,polydipsia,albiglutide,autoimmune disease of endocrine system,exenatide
Q124407,type-1 diabetes,polyphagia,albiglutide,autoimmune disease of endocrine system,exenatide
Q124407,type-1 diabetes,polyuria,albiglutide,autoimmune disease of endocrine system,exenatide
Q124407,type-1 diabetes,polydipsia,insulin glulisine,autoimmune disease of endocrine system,exenatide
Q124407,type-1 diabetes,polyphagia,insulin glulisine,autoimmune disease of endocrine system,exenatide
Q124407,type-1 diabetes,polyuria,insulin glulisine,autoimmune disease of endocrine system,exenatide
Q124407,type-1 diabetes,polydipsia,dulaglutide,autoimmune disease of endocrine system,exenatide
