"penyakitDBpedia","qid","penyakitLabel","wikidataEntity","gejalaLabel","treatmentLabel","kategoriLabel"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Botulinum toxin","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Per-oral endoscopic myotomy","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Esophageal dilation","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Botulinum toxin","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Esophageal dilation","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Botulinum toxin","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Per-oral endoscopic myotomy","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Esophageal dilation","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Per-oral endoscopic myotomy","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Esophageal dilation","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Botulinum toxin","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Dysphagia","Per-oral endoscopic myotomy","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Esophageal dilation","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Per-oral endoscopic myotomy","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Botulinum toxin","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Esophageal dilation","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Botulinum toxin","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Per-oral endoscopic myotomy","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Botulinum toxin","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Per-oral endoscopic myotomy","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Esophageal dilation","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Botulinum toxin","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Esophageal dilation","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Botulinum toxin","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Per-oral endoscopic myotomy","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Esophageal dilation","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Per-oral endoscopic myotomy","Esophagus disorders"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Esophageal dilation","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Botulinum toxin","Diseases of oesophagus, stomach and duodenum"
"http://dbpedia.org/resource/Esophagogastric_junction_outflow_obstruction","Q107389486","Esophagogastric junction outflow obstruction","http://www.wikidata.org/entity/Q107389486","Asymptomatic","Per-oral endoscopic myotomy","Esophagus disorders"
"http://dbpedia.org/resource/Bizarre_parosteal_osteochondromatous_proliferation","Q107584016","Bizarre parosteal osteochondromatous proliferation","http://www.wikidata.org/entity/Q107584016","Toe",,"Osseous and chondromatous neoplasia"
"http://dbpedia.org/resource/Bizarre_parosteal_osteochondromatous_proliferation","Q107584016","Bizarre parosteal osteochondromatous proliferation","http://www.wikidata.org/entity/Q107584016","Toe",,"Osseous and chondromatous neoplasia"
"http://dbpedia.org/resource/Bizarre_parosteal_osteochondromatous_proliferation","Q107584016","Bizarre parosteal osteochondromatous proliferation","http://www.wikidata.org/entity/Q107584016","Toe",,"Osseous and chondromatous neoplasia"
"http://dbpedia.org/resource/Bizarre_parosteal_osteochondromatous_proliferation","Q107584016","Bizarre parosteal osteochondromatous proliferation","http://www.wikidata.org/entity/Q107584016","Finger",,"Osseous and chondromatous neoplasia"
"http://dbpedia.org/resource/Bizarre_parosteal_osteochondromatous_proliferation","Q107584016","Bizarre parosteal osteochondromatous proliferation","http://www.wikidata.org/entity/Q107584016","Finger",,"Osseous and chondromatous neoplasia"
"http://dbpedia.org/resource/Bizarre_parosteal_osteochondromatous_proliferation","Q107584016","Bizarre parosteal osteochondromatous proliferation","http://www.wikidata.org/entity/Q107584016","Finger",,"Osseous and chondromatous neoplasia"
"http://dbpedia.org/resource/Neophobia","Q1678024","Neophobia","http://www.wikidata.org/entity/Q1678024",,,"Pediatrics"
"http://dbpedia.org/resource/Neophobia","Q1678024","Neophobia","http://www.wikidata.org/entity/Q1678024",,,"Pediatrics"
"http://dbpedia.org/resource/Neophobia","Q1678024","Neophobia","http://www.wikidata.org/entity/Q1678024",,,"Pediatrics"
"http://dbpedia.org/resource/Cold_injury","Q107472361","Cold injury","http://www.wikidata.org/entity/Q107472361",,,"Cold"
"http://dbpedia.org/resource/Cold_injury","Q107472361","Cold injury","http://www.wikidata.org/entity/Q107472361",,,"Cold"
"http://dbpedia.org/resource/Cold_injury","Q107472361","Cold injury","http://www.wikidata.org/entity/Q107472361",,,"Cold"
"http://dbpedia.org/resource/Attachment_disorder","Q3540868","Attachment disorder","http://www.wikidata.org/entity/Q3540868",,,"Anxiety disorders"
"http://dbpedia.org/resource/Attachment_disorder","Q3540868","Attachment disorder","http://www.wikidata.org/entity/Q3540868",,,"Anxiety disorders"
"http://dbpedia.org/resource/Attachment_disorder","Q3540868","Attachment disorder","http://www.wikidata.org/entity/Q3540868",,,"Anxiety disorders"
"http://dbpedia.org/resource/Androgen_deficiency","Q5959159","Androgen deficiency","http://www.wikidata.org/entity/Q5959159",,,"Endocrine gonad disorders"
"http://dbpedia.org/resource/Androgen_deficiency","Q5959159","Androgen deficiency","http://www.wikidata.org/entity/Q5959159",,,"Endocrine gonad disorders"
"http://dbpedia.org/resource/Androgen_deficiency","Q5959159","Androgen deficiency","http://www.wikidata.org/entity/Q5959159",,,"Endocrine gonad disorders"
"http://dbpedia.org/resource/Hyperestrogenism","Q5957980","Hyperestrogenism","http://www.wikidata.org/entity/Q5957980",,,"Endocrine gonad disorders"
"http://dbpedia.org/resource/Hyperestrogenism","Q5957980","Hyperestrogenism","http://www.wikidata.org/entity/Q5957980",,,"Endocrine gonad disorders"
"http://dbpedia.org/resource/Hyperestrogenism","Q5957980","Hyperestrogenism","http://www.wikidata.org/entity/Q5957980",,,"Endocrine gonad disorders"
"http://dbpedia.org/resource/Gastrojejunocolic_fistula","Q5526844","Gastrojejunocolic fistula","http://www.wikidata.org/entity/Q5526844",,,"Gastrointestinal tract disorders"
"http://dbpedia.org/resource/Hyperestrogenism","Q5957980","Hyperestrogenism","http://www.wikidata.org/entity/Q5957980",,,"Gynaecologic disorders"
"http://dbpedia.org/resource/Hyperestrogenism","Q5957980","Hyperestrogenism","http://www.wikidata.org/entity/Q5957980",,,"Gynaecologic disorders"
"http://dbpedia.org/resource/Hyperestrogenism","Q5957980","Hyperestrogenism","http://www.wikidata.org/entity/Q5957980",,,"Gynaecologic disorders"
"http://dbpedia.org/resource/Gonadotropin-resistant_ovary_syndrome","Q5581327","Gonadotropin-resistant ovary syndrome","http://www.wikidata.org/entity/Q5581327",,,"Menstrual disorders"
"http://dbpedia.org/resource/Ho–Kaufman–Mcalister_syndrome","Q5923210","Ho–Kaufman–Mcalister syndrome","http://www.wikidata.org/entity/Q5923210",,,"Congenital disorders"
"http://dbpedia.org/resource/Ho–Kaufman–Mcalister_syndrome","Q5923210","Ho–Kaufman–McAlister syndrome","http://www.wikidata.org/entity/Q5923210",,,"Congenital disorders"
"http://dbpedia.org/resource/Ho–Kaufman–Mcalister_syndrome","Q5923210","Ho–Kaufman–Mcalister syndrome","http://www.wikidata.org/entity/Q5923210",,,"Congenital disorders"
"http://dbpedia.org/resource/Ho–Kaufman–Mcalister_syndrome","Q5923210","Ho–Kaufman–McAlister syndrome","http://www.wikidata.org/entity/Q5923210",,,"Congenital disorders"
"http://dbpedia.org/resource/Ho–Kaufman–Mcalister_syndrome","Q5923210","Ho–Kaufman–Mcalister syndrome","http://www.wikidata.org/entity/Q5923210",,,"Congenital disorders"
"http://dbpedia.org/resource/Ho–Kaufman–Mcalister_syndrome","Q5923210","Ho–Kaufman–McAlister syndrome","http://www.wikidata.org/entity/Q5923210",,,"Congenital disorders"
"http://dbpedia.org/resource/Neuroectodermal_neoplasm","Q3542016","Neuroectodermal neoplasm","http://www.wikidata.org/entity/Q3542016",,,"Nervous system neoplasia"
"http://dbpedia.org/resource/Neuroectodermal_neoplasm","Q3542016","Neuroectodermal neoplasm","http://www.wikidata.org/entity/Q3542016",,,"Nervous system neoplasia"
"http://dbpedia.org/resource/Neuroectodermal_neoplasm","Q3542016","Neuroectodermal neoplasm","http://www.wikidata.org/entity/Q3542016",,,"Nervous system neoplasia"
"http://dbpedia.org/resource/Intermetamorphosis","Q3417919","Intermetamorphosis","http://www.wikidata.org/entity/Q3417919",,,"Psychosis"
"http://dbpedia.org/resource/Intermetamorphosis","Q3417919","Intermetamorphosis","http://www.wikidata.org/entity/Q3417919",,,"Psychosis"
"http://dbpedia.org/resource/Intermetamorphosis","Q3417919","Intermetamorphosis","http://www.wikidata.org/entity/Q3417919",,,"Psychosis"
"http://dbpedia.org/resource/Hypogeusia","Q5959620","Hypogeusia","http://www.wikidata.org/entity/Q5959620",,,"Symptoms and signs of mental disorders"
"http://dbpedia.org/resource/Cold_injury","Q107472361","Cold injury","http://www.wikidata.org/entity/Q107472361",,,"Skin conditions resulting from physical factors"
"http://dbpedia.org/resource/Cold_injury","Q107472361","Cold injury","http://www.wikidata.org/entity/Q107472361",,,"Skin conditions resulting from physical factors"
"http://dbpedia.org/resource/Cold_injury","Q107472361","Cold injury","http://www.wikidata.org/entity/Q107472361",,,"Skin conditions resulting from physical factors"
"http://dbpedia.org/resource/Garrod's_pad","Q5524074","Garrod's pad","http://www.wikidata.org/entity/Q5524074",,,"Skin conditions resulting from physical factors"
"http://dbpedia.org/resource/Garrod's_pad","Q5524074","Garrod's pad","http://www.wikidata.org/entity/Q5524074",,,"Skin conditions resulting from physical factors"
"http://dbpedia.org/resource/Arabis_mosaic_virus","Q4783472","Arabis mosaic virus","http://www.wikidata.org/entity/Q4783472",,,"Small fruit diseases"
"http://dbpedia.org/resource/Arabis_mosaic_virus","Q4783472","Arabis mosaic virus","http://www.wikidata.org/entity/Q4783472",,,"Small fruit diseases"
"http://dbpedia.org/resource/Arabis_mosaic_virus","Q4783472","Arabis mosaic virus","http://www.wikidata.org/entity/Q4783472",,,"Small fruit diseases"
"http://dbpedia.org/resource/Infections_associated_with_diseases","Q42417296","Infections associated with diseases","http://www.wikidata.org/entity/Q42417296",,,"Infectious diseases"
"http://dbpedia.org/resource/Infections_associated_with_diseases","Q42417296","Chronic diseases and cancers linked to infectious microbes","http://www.wikidata.org/entity/Q42417296",,,"Infectious diseases"
"http://dbpedia.org/resource/Neuroectodermal_neoplasm","Q3542016","Neuroectodermal neoplasm","http://www.wikidata.org/entity/Q3542016",,,"Anatomical pathology"
"http://dbpedia.org/resource/Neuroectodermal_neoplasm","Q3542016","Neuroectodermal neoplasm","http://www.wikidata.org/entity/Q3542016",,,"Anatomical pathology"
"http://dbpedia.org/resource/Neuroectodermal_neoplasm","Q3542016","Neuroectodermal neoplasm","http://www.wikidata.org/entity/Q3542016",,,"Anatomical pathology"
"http://dbpedia.org/resource/Attachment_disorder","Q3540868","Attachment disorder","http://www.wikidata.org/entity/Q3540868",,,"Adoption, fostering, orphan care and displacement"
"http://dbpedia.org/resource/Attachment_disorder","Q3540868","Attachment disorder","http://www.wikidata.org/entity/Q3540868",,,"Adoption, fostering, orphan care and displacement"
"http://dbpedia.org/resource/Attachment_disorder","Q3540868","Attachment disorder","http://www.wikidata.org/entity/Q3540868",,,"Adoption, fostering, orphan care and displacement"
"http://dbpedia.org/resource/Alpharetrovirus","Q1810500","Alpharetrovirus","http://www.wikidata.org/entity/Q1810500",,,"Alpharetroviruses"
"http://dbpedia.org/resource/Alpharetrovirus","Q1810500","Alpharetrovirus","http://www.wikidata.org/entity/Q1810500",,,"Alpharetroviruses"
"http://dbpedia.org/resource/Alpharetrovirus","Q1810500","Alpharetrovirus","http://www.wikidata.org/entity/Q1810500",,,"Alpharetroviruses"
"http://dbpedia.org/resource/Ardalan–Shoja–Kiuru_syndrome","Q4787807","Ardalan–Shoja–Kiuru syndrome","http://www.wikidata.org/entity/Q4787807",,,"Amyloidosis"
"http://dbpedia.org/resource/Ardalan–Shoja–Kiuru_syndrome","Q4787807","Ardalan–Shoja–Kiuru syndrome","http://www.wikidata.org/entity/Q4787807",,,"Amyloidosis"
"http://dbpedia.org/resource/Ardalan–Shoja–Kiuru_syndrome","Q4787807","Ardalan–Shoja–Kiuru syndrome","http://www.wikidata.org/entity/Q4787807",,,"Amyloidosis"
"http://dbpedia.org/resource/Androgen_deficiency","Q5959159","Androgen deficiency","http://www.wikidata.org/entity/Q5959159",,,"Animal reproductive system"
"http://dbpedia.org/resource/Androgen_deficiency","Q5959159","Androgen deficiency","http://www.wikidata.org/entity/Q5959159",,,"Animal reproductive system"
"http://dbpedia.org/resource/Androgen_deficiency","Q5959159","Androgen deficiency","http://www.wikidata.org/entity/Q5959159",,,"Animal reproductive system"
"http://dbpedia.org/resource/Hyperestrogenism","Q5957980","Hyperestrogenism","http://www.wikidata.org/entity/Q5957980",,,"Animal reproductive system"
"http://dbpedia.org/resource/Hyperestrogenism","Q5957980","Hyperestrogenism","http://www.wikidata.org/entity/Q5957980",,,"Animal reproductive system"
"http://dbpedia.org/resource/Hyperestrogenism","Q5957980","Hyperestrogenism","http://www.wikidata.org/entity/Q5957980",,,"Animal reproductive system"
"http://dbpedia.org/resource/Attachment_disorder","Q3540868","Attachment disorder","http://www.wikidata.org/entity/Q3540868",,,"Attachment theory"
"http://dbpedia.org/resource/Attachment_disorder","Q3540868","Attachment disorder","http://www.wikidata.org/entity/Q3540868",,,"Attachment theory"
"http://dbpedia.org/resource/Attachment_disorder","Q3540868","Attachment disorder","http://www.wikidata.org/entity/Q3540868",,,"Attachment theory"
"http://dbpedia.org/resource/Management_of_chronic_headaches","Q2495736","Management of chronic headaches","http://www.wikidata.org/entity/Q2495736",,,"Chronic pain syndromes"
"http://dbpedia.org/resource/Malacoherpesviridae","Q1886625","Malacoherpesviridae","http://www.wikidata.org/entity/Q1886625",,,"Virus families"
"http://dbpedia.org/resource/Malacoherpesviridae","Q1886625","Malacoherpesviridae","http://www.wikidata.org/entity/Q1886625",,,"Virus families"
"http://dbpedia.org/resource/Malacoherpesviridae","Q1886625","Malacoherpesviridae","http://www.wikidata.org/entity/Q1886625",,,"Virus families"
"http://dbpedia.org/resource/Gammaflexiviridae","Q5520327","Gammaflexiviridae","http://www.wikidata.org/entity/Q5520327",,,"Virus families"
"http://dbpedia.org/resource/Gammaflexiviridae","Q5520327","Gammaflexiviridae","http://www.wikidata.org/entity/Q5520327",,,"Virus families"
"http://dbpedia.org/resource/Gammaflexiviridae","Q5520327","Gammaflexiviridae","http://www.wikidata.org/entity/Q5520327",,,"Virus families"
"http://dbpedia.org/resource/Management_of_chronic_headaches","Q2495736","Management of chronic headaches","http://www.wikidata.org/entity/Q2495736",,,"Headaches"
"http://dbpedia.org/resource/Compulsive_sexual_behaviour_disorder","Q5958573","Compulsive sexual behaviour disorder","http://www.wikidata.org/entity/Q5958573",,,"Sexual health"
"http://dbpedia.org/resource/Compulsive_sexual_behaviour_disorder","Q5958573","Compulsive sexual behaviour disorder","http://www.wikidata.org/entity/Q5958573",,,"Sexual health"
"http://dbpedia.org/resource/Hyperoxia","Q5958429","Hyperoxia","http://www.wikidata.org/entity/Q5958429",,,"Underwater diving medicine"
"http://dbpedia.org/resource/Hyperoxia","Q5958429","Hyperoxia","http://www.wikidata.org/entity/Q5958429",,,"Underwater diving medicine"
"http://dbpedia.org/resource/Hyperoxia","Q5958429","Hyperoxia","http://www.wikidata.org/entity/Q5958429",,,"Underwater diving medicine"
"http://dbpedia.org/resource/Elm_mottle_virus","Q5366357","Elm mottle virus","http://www.wikidata.org/entity/Q5366357",,,"Bromoviridae"
"http://dbpedia.org/resource/Elm_mottle_virus","Q5366357","Elm mottle virus","http://www.wikidata.org/entity/Q5366357",,,"Bromoviridae"
"http://dbpedia.org/resource/Elm_mottle_virus","Q5366357","Elm mottle virus","http://www.wikidata.org/entity/Q5366357",,,"Bromoviridae"
"http://dbpedia.org/resource/Broad_bean_true_mosaic_virus","Q5332846","Broad bean true mosaic virus","http://www.wikidata.org/entity/Q5332846",,,"Comoviruses"
"http://dbpedia.org/resource/Broad_bean_true_mosaic_virus","Q5332846","Broad bean true mosaic virus","http://www.wikidata.org/entity/Q5332846",,,"Comoviruses"
"http://dbpedia.org/resource/Broad_bean_true_mosaic_virus","Q5332846","Broad bean true mosaic virus","http://www.wikidata.org/entity/Q5332846",,,"Comoviruses"
"http://dbpedia.org/resource/Infections_associated_with_diseases","Q42417296","Infections associated with diseases","http://www.wikidata.org/entity/Q42417296",,,"Infectious causes of cancer"
"http://dbpedia.org/resource/Infections_associated_with_diseases","Q42417296","Chronic diseases and cancers linked to infectious microbes","http://www.wikidata.org/entity/Q42417296",,,"Infectious causes of cancer"
"http://dbpedia.org/resource/Idaeovirus","Q5987260","Idaeovirus","http://www.wikidata.org/entity/Q5987260",,,"Positive-sense single-stranded RNA viruses"
"http://dbpedia.org/resource/Idaeovirus","Q5987260","Idaeovirus","http://www.wikidata.org/entity/Q5987260",,,"Positive-sense single-stranded RNA viruses"
"http://dbpedia.org/resource/Idaeovirus","Q5987260","Idaeovirus","http://www.wikidata.org/entity/Q5987260",,,"Positive-sense single-stranded RNA viruses"
"http://dbpedia.org/resource/Lujo_mammarenavirus","Q1876828","Lujo mammarenavirus","http://www.wikidata.org/entity/Q1876828",,,"Viral diseases"
"http://dbpedia.org/resource/Lujo_mammarenavirus","Q24719484","Lujo mammarenavirus","http://www.wikidata.org/entity/Q24719484",,,"Viral diseases"
"http://dbpedia.org/resource/Lujo_mammarenavirus","Q1876828","Lujo virus","http://www.wikidata.org/entity/Q1876828",,,"Viral diseases"
"http://dbpedia.org/resource/Lujo_mammarenavirus","Q24719484","Lujo virus","http://www.wikidata.org/entity/Q24719484",,,"Viral diseases"
"http://dbpedia.org/resource/Lujo_mammarenavirus","Q1876828","Lujo mammarenavirus","http://www.wikidata.org/entity/Q1876828",,,"Viral diseases"
"http://dbpedia.org/resource/Lujo_mammarenavirus","Q24719484","Lujo mammarenavirus","http://www.wikidata.org/entity/Q24719484",,,"Viral diseases"
"http://dbpedia.org/resource/Lujo_mammarenavirus","Q1876828","Lujo virus","http://www.wikidata.org/entity/Q1876828",,,"Viral diseases"
