qid,obatLabel,penyakitDBpedia,wikidataEntity,penyakitLabel,gejalaLabel,kategoriLabel,treatmentLabel
Q1444550,pharmaceutical preparation of nitroglycerin,,,arteriosclerotic heart disease,nausea,arteriosclerosis,isosorbide dinitrate
Q1444550,pharmaceutical preparation of nitroglycerin,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,isosorbide dinitrate
Q1444550,pharmaceutical preparation of nitroglycerin,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,isosorbide dinitrate
Q1444550,pharmaceutical preparation of nitroglycerin,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,isosorbide dinitrate
Q1444550,lipid regulating agents,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,isosorbide dinitrate
Q1444550,lipid regulating agents,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,isosorbide dinitrate
Q1444550,lipid regulating agents,,,arteriosclerotic heart disease,nausea,arteriosclerosis,isosorbide dinitrate
Q1444550,lipid regulating agents,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,isosorbide dinitrate
Q1444550,lipid regulating agents,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,isosorbide dinitrate
Q1444550,lipid regulating agents,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,isosorbide dinitrate
Q1444550,aspirin,,,arteriosclerotic heart disease,fatigue,heart disease,isosorbide dinitrate
Q1444550,aspirin,,,arteriosclerotic heart disease,angina pectoris,heart disease,isosorbide dinitrate
Q1444550,aspirin,,,arteriosclerotic heart disease,nausea,heart disease,isosorbide dinitrate
Q1444550,aspirin,,,arteriosclerotic heart disease,dyspnea,heart disease,isosorbide dinitrate
Q1444550,aspirin,,,arteriosclerotic heart disease,neck pain,heart disease,isosorbide dinitrate
Q1444550,aspirin,,,arteriosclerotic heart disease,lightheadedness,heart disease,isosorbide dinitrate
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,fatigue,heart disease,isosorbide dinitrate
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,angina pectoris,heart disease,isosorbide dinitrate
Q1444550,aspirin,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,clopidogrel
Q1444550,aspirin,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,clopidogrel
Q1444550,aspirin,,,arteriosclerotic heart disease,nausea,arteriosclerosis,clopidogrel
Q1444550,aspirin,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,clopidogrel
Q1444550,aspirin,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,clopidogrel
Q1444550,aspirin,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,clopidogrel
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,clopidogrel
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,clopidogrel
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,nausea,arteriosclerosis,clopidogrel
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,dyspnea,arteriosclerosis,clopidogrel
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,neck pain,arteriosclerosis,clopidogrel
Q1444550,isosorbide dinitrate,,,arteriosclerotic heart disease,lightheadedness,arteriosclerosis,clopidogrel
Q1444550,clopidogrel,,,arteriosclerotic heart disease,fatigue,arteriosclerosis,clopidogrel
Q1444550,clopidogrel,,,arteriosclerotic heart disease,angina pectoris,arteriosclerosis,clopidogrel
Q124407,liraglutide,,,type-1 diabetes,polyphagia,diabetes,insulin detemir
Q124407,liraglutide,,,type-1 diabetes,polyuria,diabetes,insulin detemir
Q124407,insulin aspart,,,type-1 diabetes,polydipsia,diabetes,insulin detemir
Q124407,insulin aspart,,,type-1 diabetes,polyphagia,diabetes,insulin detemir
Q124407,insulin aspart,,,type-1 diabetes,polyuria,diabetes,insulin detemir
Q124407,Insulin Lispro,,,type-1 diabetes,polydipsia,diabetes,insulin detemir
Q124407,Insulin Lispro,,,type-1 diabetes,polyphagia,diabetes,insulin detemir
Q124407,Insulin Lispro,,,type-1 diabetes,polyuria,diabetes,insulin detemir
Q124407,albiglutide,,,type-1 diabetes,polydipsia,diabetes,insulin detemir
Q124407,albiglutide,,,type-1 diabetes,polyphagia,diabetes,insulin detemir
Q124407,albiglutide,,,type-1 diabetes,polyuria,diabetes,insulin detemir
Q124407,insulin glulisine,,,type-1 diabetes,polydipsia,diabetes,insulin detemir
Q124407,insulin glulisine,,,type-1 diabetes,polyphagia,diabetes,insulin detemir
Q124407,insulin glulisine,,,type-1 diabetes,polyuria,diabetes,insulin detemir
Q124407,dulaglutide,,,type-1 diabetes,polydipsia,diabetes,insulin detemir
Q124407,dulaglutide,,,type-1 diabetes,polyphagia,diabetes,insulin detemir
Q124407,dulaglutide,,,type-1 diabetes,polyuria,diabetes,insulin detemir
Q124407,liraglutide,,,type-1 diabetes,polyphagia,autoimmune disease of endocrine system,insulin detemir
Q124407,liraglutide,,,type-1 diabetes,polyuria,autoimmune disease of endocrine system,insulin detemir
Q124407,insulin aspart,,,type-1 diabetes,polydipsia,autoimmune disease of endocrine system,insulin detemir
Q124407,insulin aspart,,,type-1 diabetes,polyphagia,autoimmune disease of endocrine system,insulin detemir
Q124407,insulin aspart,,,type-1 diabetes,polyuria,autoimmune disease of endocrine system,insulin detemir
Q124407,Insulin Lispro,,,type-1 diabetes,polydipsia,autoimmune disease of endocrine system,insulin detemir
Q124407,Insulin Lispro,,,type-1 diabetes,polyphagia,autoimmune disease of endocrine system,insulin detemir
Q124407,Insulin Lispro,,,type-1 diabetes,polyuria,autoimmune disease of endocrine system,insulin detemir
Q124407,albiglutide,,,type-1 diabetes,polydipsia,autoimmune disease of endocrine system,insulin detemir
Q124407,albiglutide,,,type-1 diabetes,polyphagia,autoimmune disease of endocrine system,insulin detemir
Q124407,albiglutide,,,type-1 diabetes,polyuria,autoimmune disease of endocrine system,insulin detemir
Q124407,insulin glulisine,,,type-1 diabetes,polydipsia,autoimmune disease of endocrine system,insulin detemir
Q124407,insulin glulisine,,,type-1 diabetes,polyphagia,autoimmune disease of endocrine system,insulin detemir
Q124407,insulin glulisine,,,type-1 diabetes,polyuria,autoimmune disease of endocrine system,insulin detemir
Q124407,dulaglutide,,,type-1 diabetes,polydipsia,autoimmune disease of endocrine system,insulin detemir
Q124407,dulaglutide,,,type-1 diabetes,polyphagia,autoimmune disease of endocrine system,insulin detemir
Q124407,dulaglutide,,,type-1 diabetes,polyuria,autoimmune disease of endocrine system,insulin detemir
Q124407,liraglutide,,,type-1 diabetes,polyphagia,diabetes,insulin glargine
Q124407,liraglutide,,,type-1 diabetes,polyuria,diabetes,insulin glargine
Q124407,insulin aspart,,,type-1 diabetes,polydipsia,diabetes,insulin glargine
Q124407,insulin aspart,,,type-1 diabetes,polyphagia,diabetes,insulin glargine
Q124407,insulin aspart,,,type-1 diabetes,polyuria,diabetes,insulin glargine
Q124407,Insulin Lispro,,,type-1 diabetes,polydipsia,diabetes,insulin glargine
Q124407,Insulin Lispro,,,type-1 diabetes,polyphagia,diabetes,insulin glargine
Q124407,Insulin Lispro,,,type-1 diabetes,polyuria,diabetes,insulin glargine
Q124407,albiglutide,,,type-1 diabetes,polydipsia,diabetes,insulin glargine
Q124407,albiglutide,,,type-1 diabetes,polyphagia,diabetes,insulin glargine
Q124407,albiglutide,,,type-1 diabetes,polyuria,diabetes,insulin glargine
Q124407,insulin glulisine,,,type-1 diabetes,polydipsia,diabetes,insulin glargine
Q124407,insulin glulisine,,,type-1 diabetes,polyphagia,diabetes,insulin glargine
Q124407,insulin glulisine,,,type-1 diabetes,polyuria,diabetes,insulin glargine
Q124407,dulaglutide,,,type-1 diabetes,polydipsia,diabetes,insulin glargine
Q124407,dulaglutide,,,type-1 diabetes,polyphagia,diabetes,insulin glargine
Q124407,dulaglutide,,,type-1 diabetes,polyuria,diabetes,insulin glargine
Q124407,liraglutide,,,type-1 diabetes,polyphagia,autoimmune disease of endocrine system,insulin glargine
Q124407,liraglutide,,,type-1 diabetes,polyuria,autoimmune disease of endocrine system,insulin glargine
Q124407,insulin aspart,,,type-1 diabetes,polydipsia,autoimmune disease of endocrine system,insulin glargine
Q124407,insulin aspart,,,type-1 diabetes,polyphagia,autoimmune disease of endocrine system,insulin glargine
Q124407,insulin aspart,,,type-1 diabetes,polyuria,autoimmune disease of endocrine system,insulin glargine
Q124407,Insulin Lispro,,,type-1 diabetes,polydipsia,autoimmune disease of endocrine system,insulin glargine
Q124407,Insulin Lispro,,,type-1 diabetes,polyphagia,autoimmune disease of endocrine system,insulin glargine
Q124407,Insulin Lispro,,,type-1 diabetes,polyuria,autoimmune disease of endocrine system,insulin glargine
Q124407,albiglutide,,,type-1 diabetes,polydipsia,autoimmune disease of endocrine system,insulin glargine
Q124407,albiglutide,,,type-1 diabetes,polyphagia,autoimmune disease of endocrine system,insulin glargine
Q124407,albiglutide,,,type-1 diabetes,polyuria,autoimmune disease of endocrine system,insulin glargine
Q124407,insulin glulisine,,,type-1 diabetes,polydipsia,autoimmune disease of endocrine system,insulin glargine
Q124407,insulin glulisine,,,type-1 diabetes,polyphagia,autoimmune disease of endocrine system,insulin glargine
Q124407,insulin glulisine,,,type-1 diabetes,polyuria,autoimmune disease of endocrine system,insulin glargine
Q124407,dulaglutide,,,type-1 diabetes,polydipsia,autoimmune disease of endocrine system,insulin glargine
Q124407,dulaglutide,,,type-1 diabetes,polyphagia,autoimmune disease of endocrine system,insulin glargine
Q124407,dulaglutide,,,type-1 diabetes,polyuria,autoimmune disease of endocrine system,insulin glargine
Q124407,liraglutide,,,type-1 diabetes,polyphagia,diabetes,exenatide
Q124407,liraglutide,,,type-1 diabetes,polyuria,diabetes,exenatide
Q124407,insulin aspart,,,type-1 diabetes,polydipsia,diabetes,exenatide
Q124407,insulin aspart,,,type-1 diabetes,polyphagia,diabetes,exenatide
Q124407,insulin aspart,,,type-1 diabetes,polyuria,diabetes,exenatide
Q124407,Insulin Lispro,,,type-1 diabetes,polydipsia,diabetes,exenatide
Q124407,Insulin Lispro,,,type-1 diabetes,polyphagia,diabetes,exenatide
Q124407,Insulin Lispro,,,type-1 diabetes,polyuria,diabetes,exenatide
Q124407,albiglutide,,,type-1 diabetes,polydipsia,diabetes,exenatide
Q124407,albiglutide,,,type-1 diabetes,polyphagia,diabetes,exenatide
Q124407,albiglutide,,,type-1 diabetes,polyuria,diabetes,exenatide
Q124407,insulin glulisine,,,type-1 diabetes,polydipsia,diabetes,exenatide
Q124407,insulin glulisine,,,type-1 diabetes,polyphagia,diabetes,exenatide
Q124407,insulin glulisine,,,type-1 diabetes,polyuria,diabetes,exenatide
Q124407,dulaglutide,,,type-1 diabetes,polydipsia,diabetes,exenatide
Q124407,dulaglutide,,,type-1 diabetes,polyphagia,diabetes,exenatide
Q124407,dulaglutide,,,type-1 diabetes,polyuria,diabetes,exenatide
Q124407,liraglutide,,,type-1 diabetes,polyphagia,autoimmune disease of endocrine system,exenatide
Q124407,liraglutide,,,type-1 diabetes,polyuria,autoimmune disease of endocrine system,exenatide
